name,website,facebook,street,city,county,state,zip
Countryside Farmers' Markets at Howe Meadow,http://www.cvcountryside.org/,https://www.facebook.com/pages/Countryside-Conservancy/49888208986,4040 Riverview Rd,Peninsula,Summit,Ohio,44264
Countryside Farmers' Markets at Old Trail School,http://www.cvcountryside.org,https://www.facebook.com/pages/Countryside-Conservancy/49888208986,2315 Ira Road,Akron,Summit,Ohio,44333
Coupeville Farmers Market,,https://www.facebook.com/pages/Coupeville-Farmers-Market/115641631824425,,Coupeville,Island,Washington,98239
Court Street Farmer's Market,,,300 Carter Avenue,New Albany,Union,Mississippi,38652
Coushatta Farmers' Market,,,1007 Main Street,Elton,Jefferson Davis,Louisiana,70532
Coventry Farmers Market,,,109 North Road,,Chenango,New York,
Coventry Regional Farmers' Market,http://www.coventryfarmersmarket.com,https://www.facebook.com/CoventryFarmersMarket,2299 South St,Coventry,Tolland,Connecticut,6238
Coventry Village Farmers Market,,,Corner of Coventry Rd and Euclid Hts Blvd.,Cleveland Hts,Cuyahoga,Ohio,
Covered Bridge Farmers' Market,http://www.stmarysohio.org,,Memorial Park,St. Marys,Auglaize,Ohio,45885
Covina CFM,,,School St. and Citrus Ave.,Covina,LOS ANGELES,California,
Covina Farmers Market,http://www.farmernet.com,,"Civic Center Park, Citrus & San Bernadino Rd.",Los Angeles,Los Angeles,California,90018
Covington Farmers Market,http://www.covingtonfarmersmarket.com,,134 West Main Street,Covington,Alleghany,Virginia,24426
Covington Farmers Market,,,609 N. Columbia Street,Covington,St. Tammany,Louisiana,70433
Coweta Farmers Market,http://www.cowetaok.com,,Northwest corner of Avenue B & Cypress,Coweta,Wagoner,Oklahoma,74429
Cowlitz County Community Farmers Market I,http://www.cowlitzcountyfarmersmarket.com,,Intersection of Broadway & Commerce,Longview,Cowlitz,Washington,98632
Cowlitz County Community Farmers Market II,http://www.cowlitzcountyfarmersmarket.com,,Cowlitz County Fairgrounds,Longview,Cowlitz,Washington,98632
Cowtown Farmers Market,,,,New Salem,Morton,North Dakota,
Cowtown Farmers Market,http://Cowtownmarket.com,Cowtown Farmers Market,3821 Southwest Blvd.,Fort Worth,Tarrant,Texas,76116
Coxsackie Farmers' Market,,,1 Betke Boulevard,Coxsackie,Greene,New York,12051
coyote farm and home market,,,106 Maple,ashland,Boone,Missouri,65010
Cozad Farmers Market,,,8th & F St.,Cozad,Dawson,Nebraska,69130
Cozad Grand Generation Center,,https://www.facebook.com/pages/Cozad-Haymaker-Grand-Generation-Center/581875038530338,410 W 9th St.,Cozad ,Dawson,Nebraska,69130
Craftsbury Common Market,,,On the Common,Craftsbury Common,Orleans,Vermont,5826
Craig Farmers' Market,,,Alice Pleasant Park,Craig,Moffat,Colorado,
Cranberry Mall Farmers Market,,,Crnberry Mall,Cranberry,Venango,Pennsylvania,16346
Crane Creek Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=659,,205 South Commerce Street,Crane,Stone,Missouri,65633
Crawfordsville Farmers Market,,https://www.facebook.com/crawfordsvillefarmersmarket,Pike ST. between Washington St. & Walnut St.,Crawfordsville,Montgomery,Indiana,47933
Creedmoor Farmers Market,,,214 North Main Street,Creedmoor,Granville,North Carolina,27522
creekside gahanna farmers market,,,downtown olde gahanna,gahanna,Franklin,Ohio,
Creekside Park Farmers Market,http://www.archdale-nc.gov,,214 Park Drive,Archdale,Randolph,North Carolina,27263
Creighton Farmers Market,,,In front of Senior Center,Brunswick,Antelope,Nebraska,68720
Crenshaw County Farmers Market,,,Highway 331 in Midtown,Luverne,Crenshaw,Alabama,36049
Crenshaw Farmers' Market,http://www.seela.org,https://www.facebook.com/pages/Crenshaw-Farmers-Market/298496636834537,3650 Crenshaw Blvd.,Los Angeles,Los Angeles,California,90008
Creole Market,,https://www.facebook.com/CreoleMarket,1200 Field Street,New Iberia,Iberia,Louisiana,70560
Crescent City Farmers Market,http://www.crescentcityfarmersmarket.org,https://www.facebook.com/pages/Crescent-City-Farmers-Market/12780011170,200 Broadway,New Orleans,Orleans,Louisiana,70118
Crescent City Farmers Market,http://www.crescentcityfarmersmarket.org,https://www.facebook.com/pages/Crescent-City-Farmers-Market/12780011170,3700 Orleans Ave,New Orleans,Orleans,Louisiana,70119
Crescent City Farmers Market,http://www.crescentcityfarmersmarket.org,https://www.facebook.com/pages/Crescent-City-Farmers-Market/12780011170,700 Magazine Street,New Orleans,Orleans,Louisiana,70130
Crescent City Farmers Market,http://www.crescentcity-fl.com,,1 South Summit Street,Crescent City,Putnam,Florida,32112
Crescent City Farmers Market,http://www.northerncalifornia.net,,"Parking lot of, Del Norte Fairgrounds parking lot",Crescent City,Del Norte,California,95531
Cresco Farmers Market,,,"Grube's north lot, corner 2nd Street & 1st Avenue W",Cresco,Howard,Iowa,25136
Crested Butte Farmers Market,http://www.cbfarmersmarket.org,,202 Elk Ave #8,Crested Butte,Gunnison,Colorado,81224
Creston Farmers' Market,,,"McKinley Park, between W. Adams & N. Park Sts.",Creston,Union,Iowa,50801
Crestview Farmers Market,,,Spanish Trail Park,Crestview,Okaloosa,Florida,32539
Creswell Farmers' Market,http://www.creswellfarmersmarket.wordpress.com,https://www.facebook.com/CreswellFarmersMkt,64 W. Oregon Ave (1st St. and Oregon Ave.),Creswell,Lane,Oregon,97426
Crete European Market,,,1321 Main St.,Crete,Will,Illinois,60417
Crete Farmers Market,,,"Pamida parking lot, 930 Main Ave.",Crete,Saline,Nebraska,68333
Crisp! Catholic Charities,http://www.crispgrocery.com,,721 N LaSalle St.,Chicago,Cook,Illinois,60654
Crisp! Mobile Farmers Market,http://www.crispgrocery.com,https://www.facebook.com/crisp.produce.5,721 N. LaSalle St.,Chicago,Cook,Illinois,60654
Crocker Farms LLC,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1426,,14400 North Route Z,Centralia,Boone,Missouri,65240
Crockett Farmers Market at Maury City,,,F.M. Old Elementary School,Maury City,Crockett,Tennessee,38050
Cromwell Farmers’ Market,,,52 Missionary Road,Cromwell,Middlesex,Connecticut,6416
Crookston Farmers Market I,,,Bremer Bank,Crookston,Polk,Minnesota,56716
Crookston Farmers Market II,,,High School,Crookston,,Minnesota,56716
Crosby Farmers Market,,,Main St.,Crosby,Divide,North Dakota,58730
Cross Community Centers Farmers Market,,,1690 Old Highway 6,Cross ,Berkeley,South Carolina,29436
Cross County Farmers Market,,,705 E. Union Ave.,Wynne,Cross,Arkansas,72396
Cross Mills Farmers Market,http://www.crossmillsfarmersmarket.com,,4219 Old Post Road,Charlestown,Washington,Rhode Island,2813
Cross Timbers Food Cooperative,http://www.crosstimbers.locallygrown.net,,,Denton,Denton,Texas,76201
Crossett Farmers' Market,http://www.cityofcrossett-ar.com,www.facebook.com/cityofcrossett,900 Block of Main Street,Crossett,Ashley,Arkansas,71635
CrossRoad Farmers Market,,,,Reed City,Osceola,Michigan,49677
Crossroad Orchard,,,8040 Upper Miamisburg Rd,Miamisburg,Montgomery,Ohio,45342
Crossroads Bellevue Farmers Market,http://www.crossroadsbellevue.com,https://www.facebook.com/Crossroads.Bellevue.Farmers.Market,15600 N.E. 8th Street,Bellevue,King,Washington,98008
Crossroads Farm at Grossmann's,,https://www.facebook.com/crossroadsfarmatgrossmanns,480 Hempstead Avenue,Malverne,Nassau,New York,11565
Crossroads Farmers Market,,,111West B. St.,Shoshone,Lincoln,Idaho,83352
Crossroads Farmers Market,http://www.longislandfarmersmarkets.com,https://www.facebook.com/pages/GG-LI-Winter-Farmers-Market/,480 Hempstead Ave,Malverne,Nassau,New York,11701
Crossroads Farmers Market,http://www.crossroadscommunityfoodnetwork.org/,https://www.facebook.com/CrossroadsFarmersMarket?ref=br_tf,Anne St. and University Blvd.,Takoma Park ,Montgomery,Maryland,20912
Crossroads Farmers Market: A Project of Mississippi Delta Council,http://crossroadsfarmersmarket.org,https://www.facebook.com/CrossroadsFamersMarket,1536 Desoto Ave ,Clarksdale ,Coahoma,Mississippi,38614
Crosstown Freeway Farmers' Market,http://www.stocktonfarmersmarket.org,,203 E. Washington Street,Stockton,San Joaquin,California,95202
Croton-on-Hudson's Down to Earth Farmers Market,http://DowntoEarthMarkets.com,www.facebook.com/DowntoEarthMarkets,Lot on Municipal Place - off Rt 9 exit,Croton-on-Hudson,Westchester,New York,10520
Crouch Farmers Market,,,The Merc Parking Lot,Crouch,Boise,Idaho,83602
Crown Point Farmers Market,http://www.crownpoint.in.gov,,South Main Street,Crown Point,Lake,Indiana,46307
Crown Valley Champagne,http://www.crownvalleyfarmersmarket.posterous.com,,23589 State Route WW,Ste. Genevieve,Ste. Genevieve,Missouri,63670
Crozet Farmers Market,,,Corner of Jarmans Gap Rd. & Crozet Ave.,Crozet,Albemarle,Virginia,22932
Crystal City Farmers Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=337,,105 Bailey Rd,Crystal City,Jefferson,Missouri,63019
Crystal City FRESHFARM Market,http://www.freshfarmmarkets.org/markets/crystal_city.html,,2000 Crystal Drive,Crystal City,Arlington,Virginia,22202
Crystal Falsh Energy Farmers Market,,,"1754 Alpine Avenue, N.W.",Grand Rapids,Kent,Michigan,49504
Crystal Farmers Market,,,831 S. Main Street parking lot,Crystal,Montcalm,Michigan,48818
Crystal Lake Farmers Market,http://www.downtowncl.org,,"Depot Park, Woodstock & Williams Streets",Crystal Lake,McHenry,Illinois,60014
Crystal Springs Farmers Market,http://crystalspringstomatofestival.blogspot.com,,West Railroad Ave,Crystal Springs,Copiah,Mississippi,39059
CSA Farmers Market,http://www.csafarmersmarket.com,,2933 Burnside Rd.,North Branch,Lapeer,Michigan,48461
"Cuba, New Mexico Farmers Market",,,NM 126 St. Francis of Assisi Park,Cuba,Sandoval,New Mexico,87013
Cudahy Farmers Market,,,4700 South Packard Avenues (Municipal parking lot),Cudahy,Milwaukee,Wisconsin,53110
Cuero Farmers Market,,,Cuero City Park Entrance,Cuero,Dewitt,Texas,77954
CUIVRE RIVER FARMERS MARKET,http://www.cuivreriverfarmersmarket.org,https://www.facebook.com/CuivreRiverFarmersMarket,120 Market Place Drive,TROY,Lincoln,Missouri,63379
Culinary Kids Farmers Market I,http://www.culinarykidsdaycamp.org,https://www.facebook.com/pages/Culinary-Kids-Day-Camp/123734797690303,30-15 Seagirt Blvd. and Beach 31st St.,Queens,Queens,New York,11691
Culinary Kids Farmers Market II,,,Beach 58th Street & Beach Channel Drive,Bronx,Queens,New York,10468
Culpeper Farmers Market,,,"E. Main St. & Commerce St.,Adjacent to train depot",Culpeper,Culpeper,Virginia,22701
Culver City Farmers Market,http://www.farmernet.com,,Main & Culver,Culver City,Los Angeles,California,90232
Cumberland County Farmers Market,,,Highway 70,Crossville,Cumberland,Tennessee,38557
Cumberland Farmers Market,http://www.cumberland-wisconsin.com,,,Cumberland,Barron,Wisconsin,54829
Cumberland Farmers Market,http://www.town.cumberland.in.us,,11501 E. Washington St.,Cumberland,Marion,Indiana,46229
Cumberland Farmers Market,http://www.cumberlandfarmersmarketassociation.org,https://www.facebook.com/pages/Cumberland-Farmers-Market-Association-CFMA/198538805238?ref=br_tf,Tuttle Road ,Falmouth ,Cumberland,Maine,
CUMC FARMERS MARKET,,,6101 GRELOT RD,MOBILE,MOBILE,Alabama,36609
Curtis Farmers Market,,,Highway 231 & Center Avenue,Curtis,Frontier,Nebraska,69025
Cushing Farmers Market,http://www.downtowncushing.com,,Northwest corner of Braodway & Cleveland,Cushing,Payne,Oklahoma,74023
Custer Farmers Market,,,Mt Rushmore Rd,Custer City,Custer,South Dakota,57730
Cutler Bay Farmers Market,,,20002 Old Cutler Road,Miami,Miami-Dade,Florida,33175
Cuyahoga Falls Farmers' Market (Farmers' Market in the Falls),http://cfo.cityofcf.com/web/parks-and-recreation/farmers-market-falls,,1201 Grant Avenue,Cuyahoga Falls,Summit,Ohio,44223
Cynthiana-Harrison County Farmers' Market,,https://www.facebook.com/chfmky,"Flat Run Veterans Park, Oddville Ave",Cynthiana,Harrison,Kentucky,41031
Cypress Center Farmers' Market,,,"50 E. Hospital St., Ste. 5",Manning,Clarendon,South Carolina,29102
Cypress Hills YM,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,Fulton St btwn Richmond and Logan,Brooklyn,New York,New York,11207
D'Iberville Farmers Market,,,10383 Automall Parkway,D'Iberville,Harrison,Mississippi,39540
Dag Hammarskjold Plaza Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,E 47 St & 2 Ave,New York,New York,New York,10017
Dag Hammerskjold Plaza Greenmarket ,http://www.grownyc.org/greenmarket-site/manhattan/dag-hammarskjold-greenmarket,,47th Street at Second Ave,Manhattan ,,New York,10017
Dahlonega Farmers Market,http://www.dahlonegadda.org,https://www.facebook.com/DahlonegaFarmersMarket,Hancock Park,Dahlonega,Lumpkin,Georgia,30533
Daily Harvest Market ,http://www.dailyharvestmarket.com/,,155 Quail Gardens Dr.,Encinitas,,California,92024
Dairymel Farms,,,1803 Hazelton-Etna Road,Pataskala,Licking,Ohio,
Dakotah's Indoor Farmers Market,,www.facebook.com/dakotahsfarmersmarket,631 N. Midlothian,Mundelein,Lake,Illinois,60060
Dale City Farmers Market,http://www.pwcparks.org/farmersmarket/,,14090 Gemini Way,Dale City,Prince William,Virginia,22193
Dale's Saturday Market,,,1296 Kennedy-Ford Road,Potlatch,Latah,Idaho,
DALEVILLE FARMERS MARKET,,,Daleville Avenue and Old Highway 134,DALEVILLE,Dale,Alabama,36322
Daley Plaza Chicago Farmers Market,http://www.cityofchicago.org/specialevents,,50 W. Washington St.,Chicago,Cook,Illinois,60602
Dallas Farmers Market,http://www.dallasfarmersmarket.org,,1010 S. Pearl Expressway,Dallas,Dallas,Texas,75201
Dallas Farmers' Market,,,236 West Dallas Street,Dallas,Barron,Wisconsin,54733
Daly City Certified Farmers' Market at Serramonte Center,http://www.cafarmersmkts.com/markets/category/daly-city,https://www.Facebook.com/DCFarmersMkt,Hwy 280 and Serramonte Blvd.,Daly City,San Mateo,California,94015
Damascus Fresh & Local Market,http://www.damascusfreshandlocalmarket.org,https://www.facebook.com/pages/Damascus-Fresh-Local-Market/230160453775285,19850 SE Damascus Ln,Damascus,Clackamas,Oregon,97089
Danbury Farmers Market,,,102 Old Church Road,Danbury,Stokes,North Carolina,27016
Danbury Farmers' Market,http://www.citycenterdanbury.com,,Kennedy Avenue,Danbury,Fairfield,Connecticut,6810
Danbury Winter Market,http://blazingstargrange.org,,15 North Road,Danbury,Merrimack,New Hampshire,3230
Dandridge Farmers Market,http://www.mainstreetdandridge.com,https://www.facebook.com/DandridgeFarmersMarket,Gay Street and Meeting Street,Dandridge,Jefferson,Tennessee,37725
Dane County Farmers Market I,,https://www.facebook.com/StBMarket,330 W. Miffline St.,Madison,Dane,Wisconsin,53703
Dane County Farmers Market I,http://www.dcfm.org,,One John Nolen Drive,Madison,Dane,Wisconsin,53703
Dane County Farmers Market I,http://www.dcfm.org,,"200 block of Martin Luther King, Jr. Blvd",Madison,Dane,Wisconsin,53703
Dane County Farmers Market I,http://www.dcfm.org,,"Capitol Square, Downtown",Madison,Dane,Wisconsin,53701
Daniel Wilson ,,n/a,640 S KY 15,Campton,Wolfe,Kentucky,41301
Daniels Farmstead,http://www.danielsfarmstead.org,https://www.facebook.com/pages/Daniels-Farmstead-Farmers-Market/342201325857571,286 Mendon St,Blackstone,Worcester,Massachusetts,1504
Danielson Farmers Market,http://www.nectfarmersmarket.org,,"Killingly Memorial Library, 25 Westcott Road",Danielson,Windham,Connecticut,6239
Dansville Farmers Market,,,"Airport Hanger parking lot, 50 Maple Ave.",Dansville,Livingston,New York,
Dansville Farmers' Market,http://www.dansvillefarmersmarket.weebly.com,https://www.facebook.com/DansvilleFarmersMarket,1050 Dakin St.,Dansville,Ingham,Michigan,48819
Danville Auction,,,15684 Body Rd.,Danville,Knox,Ohio,43014
Danville Caledonia Farmers' Market,,,On the green,Danville,Caledonia,Vermont,
Danville Chamber of Commerce Farmer's Market,http://www.danvillechamber.org,https://www.facebook.com/DCOCFarmmarket/info,10 S Jefferson St.,Danville,Hendricks,Indiana,46122
Danville Farmers Market,http://www.sites.google.com/site/caledoniafarmersmarket/,,51 Peacham Road,Danville,Caledonia,Vermont,5828
Danville Farmers' Market,http://www.pcfma.com/market_home.php?market_id=4,https://www.facebook.com/DanvilleFarmersMarket?ref=hl, 205 Railroad Ave,Danville,Contra Costa,California,94526
Danville Farmers' Market,http://www.playdanvilleva.com,,629 Craghead Street,Danville,Danville,Virginia,24541
Darby Farmers Market,,,106 S Main Street,Darby,Ravalli,Montana,59829
Darien Farmers Market,http://www.darienfarmersmarket.net,,"Mechanic Street, Behind Fire House",Darien,Fairfield,Connecticut,6810
Darien Farmers Market,http://www.merrillsmarkets.com,,7100 Claredon Hills Road,Darien,DuPage,Illinois,60561
Darlington Farmers Market,,,,Darlington,Lafayette,Wisconsin,53530
Dartmouth Farmers Market,,https://www.facebook.com/pages/Dartmouth-Farmers-Market-in-Padanaram-Village/436513176369216,"Rex Field, adjacent to St. Peters Church, 351 Elm Street, Padanaram Village",Dartmouth,Bristol,Massachusetts,2747
Dauphin Island Market,,,East Bienville Blvd at Cadillac Square Park,Dauphin Island,Mobile,Alabama,36528
Davenport Farmers Market,,,Oak at 6th Street,Davenport,Thayer,Nebraska,68335
Davenport Farmers' Market,http://www.mvgrowers.com,,320 W. Kimberly Rd.,Davenport,Scott,Iowa,52806
David City Farmers Market,http://www.davidcityne.com,,Courthouse parking lot,David City,Butler,Nebraska,68632
Davis County Farmers' Market,http://www.bloomfieldmainstreet.com/Farmer'sMarket.htm,,100 E. Jefferson St.,Bloomfield,Davis,Iowa,52537
Davis Farmers Market,http://www.davisfarmersmarket.org,https://www.facebook.com/DavisFarmersMarket,4th and C Sts.,Davis,Yolo,California,95616
Davison Downtown Farmers Market,http://www.cityofdavison.org/farmers.htm,,Cornier of Shoppers Alley & Second Street,Davison,Genesee,Michigan,48423
Dawson County Farmers Market,http://www.caes.uga.edu/extension/dawson/DawsonCountyFarmersMarket.html,,298 Academy Avenue,Dawsonville,Dawson,Georgia,30534
Dayton Farmers Market,http://www.daytonfarmersmarket.com,,3105 John Wayland Highway,Dayton,Rockingham,Virginia,22824
Dayton Farmers Market,,,Courthouse Square,Dayton,Rhea,Tennessee,37321
Dayton Farmers Market,,,Hwy 50 and 2nd Ave.,Dayton,Lyon,Nevada,89403
Dayville Mercantile,,,207 W. Franklin Ave,Dayville,Grant,Oregon,97825
DC Farmers Market,,,"1309 5th Street, NE",Washington,District of Columbia,District of Columbia,20002
De Pere Farmer Market,,,144 N Wisconsin St,De Pere,Brown,Wisconsin,54115
De Soto Farmers' Market,http://gethealthydesoto.org,DeSoto-Farmers-Market,1004 Rock Rd,De Soto,Jefferson,Missouri,63020
Deaf Smith Chamber of Commerce Farmers Market,,,200 E. Park Avenue,Hereford,Deaf Smith,Texas,79045
Deale Farmers' Market,,,5965 Deale Churchton Road,Deale,Anne Arundel,Maryland,20751
Dean Street Farmers Market,,,1095 Dean Street,Brooklyn,New York,New York,11216
Deans Farm Market ,http://www.deansfarmmarket.com/,,4231 NC Hwy 42 West,Wilson,,North Carolina,27893
Decatur Farmer's Market,http://www.decaturindianafarmersmarket.com/default.aspx,,231 East Monroe Street,Decatur,Adams,Indiana,46733
Decatur Farmers Market,,,In the park downtown at Phelps & St Marys,Decatur,Van Buren,Michigan,49045
Decatur/Morgan County Farmers Market,,,211 1st Ave. SE,Decatur,Morgan,Alabama,35602
Dedham Farmers Market,http://www.dedhamfarmersmarket.org,https://www.facebook.com/DedhamFarmersMarket,670 High Street,Dedham,Norfolk,Massachusetts,2026
Deep River Farmers Market,,,"The Stone House, 245 Main Street",Deep River,Middlesex,Connecticut,6417
Deer Park Farmers Market,,,Sunset Ave. and Brook Rd.,Westhampton Beach,Suffolk,New York,11978
Deerfield Farmer's Market,http://www.farmersmarket.deerfield-nh.us/,,10 Church Street,Deerfield,Rockingham,New Hampshire,3037
Deerfield Farmers Market,http://www.deerfield.il.us/residents/farmers_market,,Deerfield Rd. & Robert York Ave.,Deerfield,Lake,Illinois,60015
Deerfield Twp Farmers Market,,,3292 Montgomery Road,Warren,Warren,Ohio,
Defiance County Farmers' Markets,http://www.defiance.osu.edu,,St. Rt. 66 south of U.S. 24,Defiance,Defiance,Ohio,43512
Defiance County Farmers' Markets,http://www.defiance.osu.edu,,121 W. High Street (S.R. 2),Hicksville,Defiance,Ohio,43526
Defiance County Farmers' Markets,http://www.defiance.osu.edu,,S.R. 127 south of S.R. 18,Sherwood,Defiance,Ohio,43556
DeForest Area Farmers' Market,http://www.deforestarea.com,https://www.facebook.com/deforestarea,"Veteran's Memorial Park, N. Main Street",DeForest,Dane,Wisconsin,53532
Deitch's Frm Market,,,1613 Trindle Road,Carlisle,Cumberland,Pennsylvania,17013
Dekalb County Farmers Market,,,VFW Fairgrounds,Fort Payne,Dekalb,Alabama,35967
DeKalb Farmers Market,http://dekalbcofarmersmarket.com,https://www.facebook.com/dekalbcofarmersmarket,205 E Bryant St,Smithville ,DeKalb,Tennessee,37199
DeKalb Farmers Market ,,https://www.facebook.com/DeKalbNYFarmersMarket,4420 US 11,DeKalb Junction ,St. Lawrence,New York,
DeKalb Farmers' Market,http://www.renewdekalb.com,https://www.facebook.com/pages/Dekalb-Farmers-Market/270479823052549,Corner of 2nd and Locust Streets,DeKalb,DeKalb,Illinois,60115
Del Mar Farmers Market,,,1050 Camino Del Mar,Del Mar,Tulare,California,92014
Del Monte Farmers Markets at Del Monte Shopping Center,http://www.montereybayfarmers.org,https://www.facebook.com/pages/Monterey-Bay-Certified-Farmers-Markets/112446802152723,1410 Del Monte Center,Monterey,Monterey,California,93940
Del Paso Heights Community CFM,,,3525 Norwood Ave.,Sacramento,Sacramento,California,95838
Del Ray Farmers' Market,http://delrayfarmersmarket.com/,https://www.facebook.com/pages/Del-Ray-Farmers-Market/141370742562263,Mt. Vernon & Oxford Ave.,Alexandria,Alexandria,Virginia,22301
Delafield Farmes Market,,,Waukesha County City parking lot on Main Street,Delafield,Waukesha,Wisconsin,53183
Deland Saturday Morning Market,,,Wisconsin Avenue Downtown,Deland,Volusia,Florida,32724
Delano Community Farmers Market,http://www.historicdelano.com/market,https://www.facebook.com/DelanoMarket,300 S. Sycamore,Delano,Sedgwick,Kansas,67213
Delano Farmers Market,,,1508 Garces Hwy.,Wasco,Kern,California,93280
Delano Farmers Market,,,Downtown Delano,Delano,Wright,Minnesota,55328
Delavan Fresh Market,,https://www.facebook.com/pages/Delavan-Fresh-Market/137861759574760?ref=hl,Walworth Avenue,Delavan,Walworth,Wisconsin,53115
Delaware Area Neighborhood Farmers Market,,,"St. James Church, 391 Delaware Ave,",Albany,Albany,New York,
Delaware Avenue Farmers' Market,http://delawareave.wordpress.com/,https://www.facebook.com/pages/Delaware-Avenue-Farmers-Market/253512674785530,1727 Delaware Avenue,Wilmington,New Castle,Delaware,19806
Delaware County Farmers Market,http://www.delawarecountyfair.com,,"236 Pennsylvania Ave., Delaware Fairgounds",Delaware,Delaware,Ohio,43015
Delaware Valley College Farmers Market,http://www.delawarevalleycollege.com,,700 E. Butler Ave,Doylestown,Bucks,Pennsylvania,18901
Delcambre Seafood and Farmers Market,http://www.DelcambreMarket.org,www.facebook.com/DelcambreMarket,605 S. Railroad,Delcambre,Iberia,Louisiana,70528
Delhi Farmers Market,,,"Court House Square, Main St,",Delhi,Delaware,New York,13753
Delmar Farmers Market,http://www.delmarmarket.org,https://www.facebook.com/SaturdayDelmarFarmersMarket,"Bethlehem Central Middle School, 332 Kenwood Ave.",delmar,Albany,New York,12054
Delray Green Market,http://www.delraygreenmarket.com,www.facebook.com/DelrayGreenMarket,95 NE 1st Avenue,Delray Beach,Palm Beach,Florida,33444
Delta Farmer's Market ,,https://www.facebook.com/deltafarmermarket,313 West Main Street,Delta,,Ohio,43515
Deltaville Farmers Market,http://www.deltavilleva.com/MuseumPark/FarmersMarket.aspx,,287 Jackson Creek Road,Deltaville,,Virginia,
Demopolis Farmers Market,,,Hwy 80 East,Dempolis,Marengo,Alabama,36732
Denali Farmers Market,,,Intersection of the Parks Highway and Susitna River Road,Anchorage,,Alaska,
Denio's Farmers Market,http://www.deniosmarket.com,https://www.facebook.com/Denios,1551 Vineyard Road,Roseville,Placer,California,95678
Denison Farmers Market,http://www.dloftus@cdcia.org,,1st Avenue N. & 15th Street,Denison,Crawford,Iowa,51442
Denton Community Market,http://www.dentonmarket.org,https://www.facebook.com/DentonCommunityMarket,317 W. Mulberry St,Denton,Denton,Texas,76201
Denton Main Street Farmers' Market,http://www.downtowndenton.com,,4th and Gay Streets,Denton,Caroline,Maryland,21629
Denton St. Luke's Farmers' Market,,,100 S. Fifth Avenue,Denton,Caroline,Maryland,21629
Denver Urban Homesteading Farmers Market,http://www.denverurbanhomesteading.com,,200 Santa Fe Drive,Denver,Denver,Colorado,80223
Denville Farmers Market,http://www.denvillefarmersmarket.com,https://www.facebook.com/pages/Denville-Farmers-Market/125676414129318,Bloomfield Ave Parking Lot,Denville,Morris,New Jersey,7834
DePere Market at Festival Foods,,,1001 Main Ave,De Pere,Brown,Wisconsin,
Deposit Farmers' Market,http://www.ccedelaware.org,https://www.facebook.com/pages/Cornell-Cooperative-Extension-of-Delaware-County-Human-Ecology/218493031614707,107 2nd Street,Deposit,Delaware,New York,13754
Depot Park Market,http://www.depotparkmarket.org,https://www.facebook.com/depotparkmarket,Sturgeon Street and Reed Street,Moberly,Randolph,Missouri,65270
Derby Farmers Market,http://www.kansasgrownmarket.com,,800 N. Baltimore,Derby,Sedgwick,Kansas,
DeRidder Farmers Market,,,206 N. Washington Ave.,DeRidder,Beauregard,Louisiana,70634
Derry NH Farmers' Market,http://www.derry-nh.org,www.facebook.com/derryfarmersmarket,14 Manning Street,Derry,Rockingham,New Hampshire,3038
Des Moines Waterfront Farmers Market,http://www.DMFM.org,https://www.facebook.com/pages/Des-Moines-Waterfront-Farmers-Market/112845878735116?ref=hl,22307 Dock Ave S,Des Moines,King,Washington,98198
Desert Hot Springs Farmers Market,http://www.desertlocalnews.com,,Mission Springs Park,Desert Hot Springs,Riverside,California,92241
DeSoto Farmers' Market,,,10117 Hwy. 171,Grand Cane,De Soto,Louisiana,71032
Detroit Eastern Market,http://www.detroiteasternmarket.com,https://www.facebook.com/easternmarketdetroit,2934 Russell Street,Detroit,Wayne,Michigan,48207
Detroit Eastern Market Tuesdays,http://www.detroiteasternmarket.com,https://www.facebook.com/easternmarketdetroit,2934 Russell Street,Detroit,Wayne,Michigan,48207
Devils Lake Community Market,http://www.devilslakecommunitymarket.netfirms.com,,"Roosevelt Park, Devils Lake",Devils Lake,Ramsey,North Dakota,58380
Devon Community Market ,http://www.cityofchicago.org/city/en/depts/dca/supp_info/farmers_market3.html,https://www.facebook.com/pages/Chicago-Farmers-Markets/19988198547?sid=4c2c43d8cfa7095a22e0d9f9c19d26c3&ref=search,2720 W. Devon St. ,Chicago,,Illinois,
Dewey Humboldt Farmers Market,,,2581 South Highway 69 (N of Main St),Humboldt,Yavapai,Arizona,86329
Dewitt Farmers Market,http://www.dewittfarmersmarket.com/,,Bridge and Main St,Dewitt,Clinton,Michigan,48820
DeWitt Farmers Market,,,Lincoln Park,DeWitt,Clinton,Iowa,52742
Dexter Farmers Market,http://www.dextermi.gov,,3233 Alpine,Dexter,Washtenaw,Michigan,48130
Dexter Lake Farmers Market,http://www.DexterLakeFarmersMarket.org,,"Dexter State Recreation Site Highway 58 milepost 11 Dexter, Oregon",Dexter,Lane,Oregon,97431
DFC Farmers' Market,http://www.gsa.gov/dfcfarmersmarket,,Denver Federal Center (7th and Main),Denver,Jefferson County,Colorado,
